date;value
2021-01-02;0
2021-01-04;0
2021-01-07;0
2021-01-08;2
2021-01-09;2
2021-01-12;10
2021-01-13;2
2021-01-14;3
2021-01-15;5
2021-01-17;12
2021-01-18;20
2021-01-19;11
2021-01-20;22
2021-01-21;40
2021-01-22;33
2021-01-23;12
2021-01-24;21
2021-01-25;11
2021-01-27;65
2021-01-28;60
2021-01-29;51
2021-01-30;125
2021-01-31;56
2021-02-01;266
2021-02-02;128
2021-02-04;238
2021-02-06;156
2021-02-07;138
2021-02-08;401
2021-02-09;447
2021-02-11;594
2021-02-12;327
2021-02-13;665
2021-02-14;1208
2021-02-16;1382
2021-02-17;891
2021-02-18;755
2021-02-19;803
2021-02-20;618
2021-02-24;449
2021-02-26;620
2021-02-27;1081
2021-03-01;347
2021-03-04;214
2021-03-07;182
2021-03-08;69
2021-03-10;171
2021-03-11;50
2021-03-12;97
2021-03-13;55
2021-03-14;73
2021-03-16;50
2021-03-17;25
2021-03-19;41
2021-03-21;23
2021-03-23;15
2021-03-24;16
2021-03-25;31
2021-03-27;9
2021-03-29;3
2021-04-01;13
2021-04-02;3
2021-04-04;3
2021-04-05;4
2021-04-06;9
2021-04-07;3
2021-04-08;2
2021-04-09;5
2021-04-10;4
2021-04-11;6
